iter	RMSE
0	1.413130185
1	1.312147357
2	1.224004935
3	1.144045276
4	1.075769995
5	1.014878752
6	0.9629756023
7	0.9174115212
8	0.8788630693
9	0.8433737906
10	0.8134160062
11	0.7872427641
12	0.7644930909
13	0.7437232725
14	0.7278466127
15	0.7130914216
16	0.6999841963
17	0.6895728333
18	0.6805992972
19	0.6725235636
20	0.6655396157
21	0.6595555581
22	0.6541502414
23	0.6484321333
24	0.6442894792
25	0.6409501929
26	0.6375101102
27	0.6340987324
28	0.6313662687
29	0.6292778304
30	0.627547096
31	0.6257389745
32	0.6241367836
33	0.6229115072
34	0.6213919896
35	0.6200818046
36	0.6189852157
37	0.6178542159
38	0.6169421334
39	0.6160298158
40	0.6154486241
41	0.6147315936
42	0.6141151662
43	0.6135477286
44	0.6129300188
45	0.6123525175
46	0.6119249651
47	0.6113573196
48	0.610945285
49	0.6106166692
50	0.6102357098
51	0.6099209807
52	0.6095797168
53	0.6093091891
54	0.6089402228
55	0.6086380943
56	0.6083258911
57	0.608112344
58	0.6076970293
59	0.607496083
60	0.6072455471
61	0.6070071019
62	0.6066825796
63	0.6064831595
64	0.6061147221
65	0.6059272108
66	0.6057386184
67	0.6055948568
68	0.6054068419
69	0.6052302964
70	0.6048139336
71	0.6045397326
72	0.6042812241
73	0.6040739835
74	0.6038501753
75	0.6037313499
76	0.6035835256
77	0.6034747167
78	0.6033408743
79	0.6032551934
80	0.6031081121
81	0.6029810298
82	0.6027765275
83	0.6027018293
84	0.6025834821
85	0.6023789545
86	0.6022514188
87	0.6020185905
88	0.6018556993
89	0.6017889515
90	0.6016782846
91	0.6015366057
92	0.6014147466
93	0.6012416168
94	0.6010245361
95	0.600927945
96	0.6007815187
97	0.6006318816
98	0.6004346556
99	0.6003195796
100	0.6002195494
101	0.6000857641
102	0.6000004543
103	0.5999124431
104	0.5998440754
105	0.5996373581
106	0.5995032087
107	0.5994264917
108	0.5993011283
109	0.5992090936
110	0.5990211924
111	0.5989213896
112	0.5988385751
113	0.5987212491
114	0.5986267853
115	0.5985383842
116	0.5984652251
117	0.5983187164
118	0.598189031
119	0.5980957881
120	0.5979831329
121	0.5979063637
122	0.5978261211
123	0.597709524
124	0.5975944924
125	0.5974960044
126	0.597430817
127	0.5973085073
128	0.5972127949
129	0.5971327199
130	0.5970765029
131	0.5969482848
132	0.5968549009
133	0.5967765426
134	0.596730073
135	0.596592443
136	0.5964589859
137	0.596341878
138	0.5962850598
139	0.5962215538
140	0.5961278165
141	0.5960834417
142	0.5959266976
143	0.5958704848
144	0.5957896869
145	0.5956740885
146	0.5956052308
147	0.5955972611
148	0.5955674192
149	0.5955072727
150	0.5953668686
151	0.5952521235
152	0.5952245007
153	0.5951753735
154	0.5951111632
155	0.5950660419
156	0.5949285635
157	0.5948000059
158	0.594750718
159	0.5947142187
160	0.5945683315
161	0.5945060204
162	0.5944892617
163	0.5944328439
164	0.5943424961
165	0.5942643718
166	0.5941555822
167	0.5940531842
168	0.5940354106
169	0.5939142688
170	0.5937921546
171	0.5937369319
172	0.5937008529
173	0.5936701039
174	0.5935754751
175	0.5935058772
176	0.5934282474
177	0.5933174586
178	0.5932587215
179	0.5932133781
180	0.5931752038
181	0.5931232897
182	0.5930155945
183	0.5929301454
184	0.5928387393
185	0.5927415656
186	0.5926861688
187	0.5926131195
188	0.5925704624
189	0.5924113201
190	0.5923061895
191	0.5922254687
192	0.5921150061
193	0.5920839638
194	0.59200471
195	0.591938336
196	0.5918221623
197	0.5916982746
198	0.5916349571
199	0.5915784379
200	0.5915277734
201	0.5914493783
202	0.5914048452
203	0.5913171848
204	0.5912394207
205	0.5911677336
206	0.5910866084
207	0.5910334705
208	0.5909735932
209	0.5909581754
210	0.590892512
211	0.5907806248
212	0.5907023283
213	0.5906572015
214	0.5905823081
215	0.5905304213
216	0.5904393062
217	0.5904119332
218	0.5903400956
219	0.5903106668
220	0.5902911282
221	0.5902629031
222	0.5901786302
223	0.5901417299
