iter	Passed	Remaining
0	11	5751
1	22	5690
2	32	5436
3	42	5282
4	52	5176
5	62	5109
6	70	4987
7	80	4950
8	89	4897
9	98	4840
10	108	4827
11	117	4796
12	127	4790
13	137	4768
14	146	4736
15	155	4702
16	163	4654
17	171	4604
18	180	4565
19	188	4532
20	197	4505
21	206	4477
22	214	4450
23	222	4411
24	231	4397
25	240	4376
26	247	4343
27	256	4318
28	264	4290
29	272	4266
30	279	4230
31	287	4197
32	294	4173
33	302	4143
34	309	4109
35	316	4073
36	323	4041
37	330	4012
38	337	3984
39	344	3957
40	351	3940
41	359	3917
42	366	3898
43	373	3874
44	381	3861
45	389	3847
46	397	3827
47	404	3811
48	412	3792
49	419	3773
50	426	3756
51	433	3735
52	439	3710
53	447	3695
54	454	3677
55	461	3661
56	468	3640
57	475	3627
58	482	3610
59	489	3592
60	497	3577
61	503	3556
62	511	3545
63	518	3529
64	525	3515
65	532	3498
66	538	3481
67	545	3467
68	552	3450
69	559	3437
70	567	3426
71	574	3413
72	581	3399
73	588	3386
74	594	3371
75	601	3355
76	608	3340
77	614	3324
78	621	3309
79	627	3293
80	634	3281
81	640	3266
82	647	3253
83	653	3238
84	660	3224
85	667	3215
86	675	3206
87	682	3197
88	689	3184
89	695	3170
90	702	3156
91	709	3145
92	715	3132
93	723	3122
94	730	3112
95	736	3100
96	744	3092
97	752	3085
98	758	3073
99	766	3064
100	772	3052
101	779	3042
102	786	3030
103	792	3018
104	799	3006
105	805	2995
106	812	2984
107	818	2971
108	825	2960
109	832	2951
110	839	2942
111	847	2934
112	854	2924
113	861	2917
114	868	2906
115	875	2896
116	881	2886
117	888	2876
118	895	2867
119	901	2856
120	908	2845
121	915	2835
122	921	2823
123	928	2814
124	935	2805
125	942	2798
126	949	2788
127	956	2780
128	963	2771
129	970	2762
130	977	2753
131	984	2744
132	991	2737
133	998	2727
134	1005	2718
135	1012	2709
136	1019	2700
137	1026	2692
138	1032	2681
139	1040	2674
140	1046	2665
141	1053	2656
142	1060	2648
143	1067	2639
144	1074	2630
145	1081	2622
146	1088	2614
147	1095	2605
148	1102	2597
149	1110	2590
150	1117	2582
151	1124	2574
152	1130	2564
153	1137	2554
154	1143	2545
155	1149	2535
156	1156	2526
157	1163	2517
158	1169	2508
159	1175	2498
160	1182	2489
161	1188	2479
162	1194	2470
163	1201	2460
164	1207	2452
165	1214	2443
166	1220	2434
167	1227	2426
168	1234	2417
169	1241	2409
170	1247	2400
171	1255	2394
172	1262	2386
173	1269	2378
174	1276	2370
175	1283	2362
176	1290	2355
177	1297	2347
178	1304	2338
179	1310	2330
180	1317	2321
181	1323	2313
182	1330	2304
183	1337	2296
184	1344	2288
185	1351	2280
186	1359	2274
187	1366	2266
188	1373	2259
189	1380	2252
190	1387	2244
191	1394	2237
192	1401	2229
193	1407	2220
194	1414	2212
195	1421	2204
196	1427	2196
197	1435	2189
198	1442	2181
199	1448	2173
200	1455	2165
201	1462	2158
202	1469	2150
203	1476	2142
204	1483	2134
205	1490	2126
206	1496	2118
207	1503	2110
208	1509	2102
209	1516	2094
210	1522	2085
211	1529	2077
212	1536	2069
213	1542	2061
214	1549	2053
215	1555	2045
216	1562	2037
217	1568	2028
218	1575	2021
219	1581	2013
220	1588	2005
221	1594	1996
222	1601	1989
223	1608	1981
224	1615	1973
225	1621	1965
226	1629	1959
227	1636	1952
228	1643	1945
229	1651	1938
230	1658	1930
231	1665	1923
232	1671	1915
233	1678	1907
234	1684	1899
235	1691	1892
236	1697	1884
237	1704	1876
238	1711	1868
239	1718	1861
240	1724	1853
241	1731	1845
242	1738	1838
243	1744	1830
244	1751	1823
245	1759	1816
246	1766	1809
247	1773	1802
248	1780	1794
249	1786	1786
250	1794	1779
251	1800	1772
252	1807	1764
253	1814	1756
254	1821	1750
255	1828	1742
256	1834	1734
257	1840	1726
258	1847	1719
259	1853	1711
260	1860	1703
261	1868	1697
262	1875	1689
263	1881	1682
264	1888	1674
265	1895	1667
266	1902	1660
267	1908	1652
268	1915	1645
269	1922	1637
270	1928	1629
271	1935	1622
272	1942	1614
273	1949	1608
274	1956	1600
275	1963	1593
276	1970	1586
277	1976	1578
278	1984	1571
279	1990	1563
280	1998	1557
281	2003	1549
282	2010	1541
283	2017	1534
284	2024	1527
285	2031	1519
286	2038	1512
287	2045	1505
288	2051	1497
289	2057	1490
290	2064	1483
291	2071	1475
292	2078	1468
293	2084	1460
294	2091	1453
295	2098	1446
296	2105	1438
297	2111	1431
298	2117	1423
299	2124	1416
300	2130	1408
301	2137	1401
302	2143	1393
303	2149	1385
304	2156	1378
305	2162	1371
306	2169	1363
307	2175	1355
308	2181	1348
309	2187	1340
310	2194	1333
311	2201	1326
312	2206	1318
313	2212	1310
314	2218	1303
315	2225	1295
316	2231	1288
317	2237	1280
318	2243	1273
319	2250	1265
320	2256	1258
